2015-08-31T14:29:59.838084 INFO   :		[100%-4%] Candidate (z^5+z^2+z,z^5+z^3+1,z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:59.887484 INFO   :		[100%-6%] Candidate (z^5+z^2+z,z^5+z^3+1,z^2) = 0.000078 (std 0.000880424)
2015-08-31T14:29:59.945850 INFO   :		[100%-9%] Candidate (z^5+z^2+z,z^5+z^3+1,z^2+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:59.995143 INFO   :		[100%-10%] Candidate (z^5+z^2+z,z^5+z^3+1,z^2+z+1) = 0.000313 (std 0.00173993)
2015-08-31T14:30:00.045454 INFO   :		[100%-12%] Candidate (z^5+z^2+z,z^5+z^3+1,z^3) = 0.000078 (std 0.000880424)
2015-08-31T14:30:00.094750 INFO   :		[100%-14%] Candidate (z^5+z^2+z,z^5+z^3+1,z^3+1) = 0.000156 (std 0.0012402)
2015-08-31T14:30:00.155084 INFO   :		[100%-17%] Candidate (z^5+z^2+z,z^5+z^3+1,z^3+z+1) = 0.000078 (std 0.000880424)
2015-08-31T14:30:00.204304 INFO   :		[100%-18%] Candidate (z^5+z^2+z,z^5+z^3+1,z^3+z^2) = 0.000234 (std 0.00151288)
2015-08-31T14:30:00.253282 INFO   :		[100%-20%] Candidate (z^5+z^2+z,z^5+z^3+1,z^3+z^2+1) = 0.000156 (std 0.0012402)
2015-08-31T14:30:00.302399 INFO   :		[100%-21%] Candidate (z^5+z^2+z,z^5+z^3+1,z^3+z^2+z) = 0.000156 (std 0.0012402)
2015-08-31T14:30:00.352957 INFO   :		[100%-25%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4) = 0.000234 (std 0.00151288)
2015-08-31T14:30:00.408075 INFO   :		[100%-28%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z) = 0.000234 (std 0.00151288)
2015-08-31T14:30:00.457082 INFO   :		[100%-29%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:30:00.514347 INFO   :		[100%-32%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z^2+1) = 0.000156 (std 0.0012402)
2015-08-31T14:30:00.563099 INFO   :		[100%-34%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z^2+z) = 0.000156 (std 0.0012402)
2015-08-31T14:30:00.611849 INFO   :		[100%-35%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z^2+z+1) = 0.000078 (std 0.000880424)
2015-08-31T14:30:00.661475 INFO   :		[100%-37%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z^3) = 0.000156 (std 0.0012402)
2015-08-31T14:30:00.709612 INFO   :		[100%-39%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z^3+1) = 0.000078 (std 0.000880424)
2015-08-31T14:30:00.757462 INFO   :		[100%-40%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z^3+z) = 0.000156 (std 0.0012402)
2015-08-31T14:30:00.812441 INFO   :		[100%-43%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z^3+z^2) = 0.000156 (std 0.0012402)
2015-08-31T14:30:00.860748 INFO   :		[100%-45%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z^3+z^2+1) = 0.000078 (std 0.000880424)
2015-08-31T14:30:00.912803 INFO   :		[100%-48%] Candidate (z^5+z^2+z,z^5+z^3+1,z^4+z^3+z^2+z+1) = 0.000156 (std 0.0012402)
